foodatlas_id	chebi	cdno
e10389	['main group molecular entity', 'polyatomic entity']	['others']
e10390	['main group molecular entity', 'polyatomic entity']	['others']
e10391	['main group molecular entity', 'polyatomic entity']	['others']
e10392	['main group molecular entity', 'polyatomic entity']	['others']
e10393	['main group molecular entity']	['others']
e10394	['main group molecular entity', 'polyatomic entity']	['others']
e10395	['main group molecular entity', 'polyatomic entity']	['others']
e10396	['main group molecular entity', 'polyatomic entity']	['others']
e10397	['main group molecular entity', 'polyatomic entity']	['others']
e10398	['main group molecular entity', 'polyatomic entity', 'ion']	['others']
e10399	['main group molecular entity', 'polyatomic entity']	['others']
e10400	['main group molecular entity', 'polyatomic entity']	['others']
e10401	['main group molecular entity', 'polyatomic entity']	['others']
e10402	['main group molecular entity', 'polyatomic entity']	['lipid', 'others']
e10403	['main group molecular entity', 'polyatomic entity']	['others']
e10404	['main group molecular entity', 'polyatomic entity']	['others']
e10405	['main group molecular entity', 'polyatomic entity']	['others']
e10406	['main group molecular entity', 'polyatomic entity']	['others']
e10407	['main group molecular entity', 'polyatomic entity']	['others']
e10408	['main group molecular entity', 'polyatomic entity']	['others']
e10409	['main group molecular entity', 'polyatomic entity']	['others']
e10410	['main group molecular entity', 'polyatomic entity']	['others']
e10411	['main group molecular entity', 'polyatomic entity']	['others']
e10412	['main group molecular entity', 'polyatomic entity']	['others']
e10413	['main group molecular entity', 'polyatomic entity']	['others']
e10414	['main group molecular entity', 'polyatomic entity']	['others']
e10415	['main group molecular entity']	['others']
e10416	['main group molecular entity', 'polyatomic entity']	['others']
e10417	['main group molecular entity', 'polyatomic entity']	['others']
e10418	['main group molecular entity', 'polyatomic entity']	['others']
e10419	['main group molecular entity', 'polyatomic entity']	['others']
e10420	['main group molecular entity', 'polyatomic entity']	['others']
e10421	['main group molecular entity', 'polyatomic entity']	['others']
e10422	['main group molecular entity']	['others']
e10423	['main group molecular entity', 'polyatomic entity']	['others']
e10424	['main group molecular entity', 'polyatomic entity']	['others']
e10425	['main group molecular entity', 'polyatomic entity']	['others']
e10426	['main group molecular entity', 'polyatomic entity']	['others']
e10427	['main group molecular entity', 'polyatomic entity']	['others']
e10428	['main group molecular entity', 'polyatomic entity']	['others']
e10429	['main group molecular entity', 'polyatomic entity']	['others']
e10430	['main group molecular entity', 'polyatomic entity']	['others']
e10431	['main group molecular entity', 'polyatomic entity']	['others']
e10432	['polyatomic entity']	['others']
e10433	['main group molecular entity', 'polyatomic entity']	['others']
e10434	['main group molecular entity', 'polyatomic entity']	['others']
e10435	['main group molecular entity', 'polyatomic entity']	['others']
e10436	['main group molecular entity', 'polyatomic entity']	['others']
e10437	['main group molecular entity', 'polyatomic entity']	['others']
e10438	['main group molecular entity', 'polyatomic entity']	['others']
e10439	['main group molecular entity', 'polyatomic entity']	['others']
e10440	['main group molecular entity', 'polyatomic entity']	['others']
e10441	['main group molecular entity', 'polyatomic entity']	['others']
e10442	['main group molecular entity']	['others']
e10443	['main group molecular entity', 'polyatomic entity']	['others']
e10444	['main group molecular entity', 'polyatomic entity']	['others']
e10445	['main group molecular entity', 'polyatomic entity']	['others']
e10446	['main group molecular entity', 'polyatomic entity']	['others']
e10447	['main group molecular entity']	['others']
e10448	['main group molecular entity', 'polyatomic entity']	['others']
e10449	['main group molecular entity', 'polyatomic entity']	['others']
e10450	['main group molecular entity', 'polyatomic entity']	['others']
e10451	['main group molecular entity', 'polyatomic entity']	['others']
e10452	['main group molecular entity', 'polyatomic entity']	['others']
e10453	['main group molecular entity', 'polyatomic entity']	['others']
e10454	['main group molecular entity', 'polyatomic entity']	['others']
e10455	['main group molecular entity', 'polyatomic entity']	['others']
e10456	['main group molecular entity', 'polyatomic entity']	['others']
e10457	['main group molecular entity', 'polyatomic entity']	['others']
e10458	['main group molecular entity', 'polyatomic entity']	['others']
e10459	['main group molecular entity', 'polyatomic entity']	['others']
e10460	['main group molecular entity', 'polyatomic entity']	['others']
e10461	['main group molecular entity', 'polyatomic entity', 'mancude ring']	['others']
e10462	['main group molecular entity', 'polyatomic entity']	['others']
e10463	['main group molecular entity', 'polyatomic entity']	['others']
e10464	['main group molecular entity']	['others']
e10465	['main group molecular entity', 'polyatomic entity']	['others']
e10466	['main group molecular entity', 'polyatomic entity']	['others']
e10467	['main group molecular entity', 'polyatomic entity']	['others']
e10468	['main group molecular entity', 'polyatomic entity']	['others']
e10469	['main group molecular entity']	['others']
e10470	['main group molecular entity', 'polyatomic entity']	['others']
e10471	['main group molecular entity', 'polyatomic entity']	['others']
e10472	['main group molecular entity', 'polyatomic entity']	['others']
e10473	['main group molecular entity', 'polyatomic entity']	['others']
e10474	['main group molecular entity', 'polyatomic entity']	['others']
e10475	['main group molecular entity', 'polyatomic entity']	['others']
e10476	['main group molecular entity', 'polyatomic entity']	['others']
e10477	['main group molecular entity']	['others']
e10478	['main group molecular entity', 'polyatomic entity']	['others']
e10479	['main group molecular entity', 'polyatomic entity']	['others']
e10480	['main group molecular entity', 'polyatomic entity']	['others']
e10481	['main group molecular entity', 'polyatomic entity']	['others']
e10482	['main group molecular entity', 'polyatomic entity']	['others']
e10483	['main group molecular entity', 'polyatomic entity']	['others']
e10484	['main group molecular entity', 'polyatomic entity']	['others']
e10485	['main group molecular entity']	['others']
e10486	['main group molecular entity', 'polyatomic entity', 'ion']	['others']
e10487	['main group molecular entity', 'polyatomic entity']	['others']
e10488	['main group molecular entity', 'polyatomic entity']	['others']
e10489	['main group molecular entity', 'polyatomic entity']	['others']
e10490	['main group molecular entity', 'polyatomic entity']	['others']
e10491	['main group molecular entity', 'polyatomic entity']	['others']
e10492	['main group molecular entity', 'polyatomic entity']	['others']
e10493	['main group molecular entity', 'polyatomic entity']	['others']
