name	foodatlas_id
botanical fruit food product	['e235']
bu-du	['e236']
legume food product	['e237']
buffalo milk beverage	['e238']
camel milk beverage	['e239']
donkey milk beverage	['e240']
horse milk beverage	['e241']
reindeer milk beverage	['e242']
water buffalo milk beverage	['e243']
yak milk beverage	['e244']
zebra milk beverage	['e245']
egg food product	['e246']
hen egg food product	['e247']
apple cider (alcoholic)	['e248']
orange juice (unpasteurized)	['e249']
chocolate food product	['e250']
custard dessert food product	['e251']
beef (ground)	['e252']
poultry food product	['e253']
duck meat food product	['e254']
goose meat food product	['e255']
turkey meat food product	['e256']
cantaloupe fruit food product	['e257']
clam food product	['e258']
oyster food product	['e259']
shellfish food product	['e260']
goat milk cheese (unpasteurized)	['e261']
pecorino cheese	['e262']
sheep milk cheese (unpasteurized)	['e263']
unpasteurized cow milk cheese food product	['e264']
unpasteurized camel milk beverage	['e265']
caprine milk beverage (raw)	['e266']
unpasteurized milk beverage	['e267']
hoi-dong	['e268']
mum-khai-pla	['e269']
mum-sai-pla	['e270']
nam-budu	['e271']
nham-pla	['e272']
noa mai	['e273']
noa mai dong	['e274']
pak kard dong	['e275']
pak kum dong	['e276']
pak sean dong	['e277']
pak sean and hua plee dong	['e278']
pak sean and makhua dong	['e279']
pla-chom	['e280']
pla-jaw	['e281']
pla-som	['e282']
pu dong	['e283']
som-khai-pla	['e284']
tai-pla	['e285']
tuaw jaew	['e286']
rice powder (roasted)	['e287']
blood meal	['e288']
pre-evisceration carcass	['e289']
post-evisceration carcass	['e290']
rolled grain	['e291']
abalone food product	['e292']
akee fruit food product	['e293']
albacore food product	['e294']
alewife food product	['e295']
alfalfa food product	['e296']
alfalfa pellet	['e297']
alfalfa vegetable food product	['e298']
almond candy food product	['e299']
almond food product	['e300']
american dewberry food product	['e301']
anchovy food product	['e302']
angelica candy food product	['e303']
animal based refined or partially-refined food product	['e304']
animal based salad food product	['e305']
animal fat or oil refined food product	['e306']
animal product based dressing	['e307']
animal product based flavoring or seasoning	['e308']
animal product sausage	['e309']
animal soup food product	['e310']
apple food product	['e311']
apple preserve or jam food product	['e312']
apple vinegar food product	['e313']
apple wine food product	['e314']
apricot food product	['e315']
apricot preserve or jam food product	['e316']
artichoke vegetable food product	['e317']
asian water buffalo meat food product	['e318']
asparagus vegetable food product	['e319']
atlantic halibut food product	['e320']
atlantic herring food product	['e321']
atlantic salmon and trout food product	['e322']
avocado food product	['e323']
bamboo food product	['e324']
banana food product	['e325']
banana passionfruit food product	['e326']
milled barley food product	['e327']
barley vegetable food product	['e328']
bass food product	['e329']
bean food product	['e330']
beef product based flavoring or seasoning	['e331']
beet pickle food product	['e332']
beet food product	['e333']
belgian carrot food product	['e334']
berry food product	['e335']
berry juice	['e336']
betel nut food product	['e337']
black currant nectar beverage	['e338']
black olive food product	['e339']
black or white pepper product	['e340']
black pepper food product	['e341']
black raspberry food product	['e342']
black walnut food product	['e343']
blackberry group food product	['e344']
blackeyed pea vegetable food product	['e345']
blue runner food product	['e346']
blueberry food product	['e347']
blueberry preserve or jam food product	['e348']
bluefin tuna food product	['e349']
bluefish food product	['e350']
bonito food product	['e351']
bony fish food product	['e352']
boysenberry food product	['e353']
brazil nut food product	['e354']
broad bean food product	['e355']
broccoli food product	['e356']
broiler chicken meat food product	['e357']
brown trout food product	['e358']
brussels sprout food product	['e359']
buffalo meat food product	['e360']
buffalofish food product	['e361']
butterfly mackerel food product	['e362']
cabbage juice food product	['e363']
cabbage head food product	['e364']
calf meat food product	['e365']
cape hake food product	['e366']
cape spiny lobster food product	['e367']
caper food product	['e368']
cardamom food product	['e369']
carp food product	['e370']
carp or minnow family food product	['e371']
carrot juice food product	['e372']
carrot food product	['e373']
cashew nut food product	['e374']
cassava snack food product	['e375']
cassava food product	['e376']
cattle based pie food product	['e377']
cattle cured meat food product	['e378']
cattle product based flavoring or seasoning	['e379']
cattle sausage food product	['e380']
cauliflower (pickled) food product	['e381']
cauliflower food product	['e382']
celery food product	['e383']
leaf celery food product	['e384']
cephalopod food product	['e385']
cereal dessert food product	['e386']
cereal food product	['e387']
chamomile tea	['e388']
channel catfish food product	['e389']
cherry food product	['e390']
cherry juice food product	['e391']
cherry nectar beverage	['e392']
cherry pie	['e393']
cherry preserve or jam food product	['e394']
chestnut food product	['e395']
chicken product based flavoring or seasoning	['e396']
chicken pie food product	['e397']
chicken salad food product	['e398']
chicory food product	['e399']
chinook salmon food product	['e400']
chive food product	['e401']
chub mackerel food product	['e402']
chum salmon food product	['e403']
cichlid food product	['e404']
cinnamon food product	['e405']
citron food product	['e406']
citrus nectar beverage	['e407']
citrus preserve or jam food product	['e408']
clingstone peach food product	['e409']
cloudberry food product	['e410']
clove food product	['e411']
cockle food product	['e412']
cocoa beverage	['e413']
coconut beverage	['e414']
cod food product	['e415']
codling food product	['e416']
coho salmon food product	['e417']
kola nut food product	['e418']
cold-pack cheese food product	['e419']
collard food product	['e420']
cavendish banana food product	['e421']
common bean food product	['e422']
common millet food product	['e423']
common oat cereal food product	['e424']
coriander food product	['e425']
vegetable corn food product	['e426']
corvina food product	['e427']
cotton seed food product	['e428']
cow buttermilk food product	['e429']
dried cow milk food product	['e430']
cow milk based food product	['e431']
cow milk butter food product	['e432']
cow milk cream food product	['e433']
