foodatlas_id	head_id	relationship_id	tail_id	metadata_ids
t157	e1394	r1	e65101	['mc163']
t158	e1394	r1	e203876	['mc164']
t159	e1394	r1	e13197	['mc165']
t160	e1394	r1	e10897	['mc166']
t161	e1394	r1	e61149	['mc167']
t162	e1394	r1	e203831	['mc168']
t163	e1394	r1	e203832	['mc169']
t164	e6500	r1	e61406	['mc170']
t165	e6500	r1	e59722	['mc171']
t166	e6500	r1	e12449	['mc172']
t167	e6500	r1	e63842	['mc173']
t168	e6500	r1	e61340	['mc174']
t169	e6500	r1	e63177	['mc175']
t170	e6500	r1	e63841	['mc176']
t171	e6500	r1	e203822	['mc177']
t172	e6500	r1	e63844	['mc178']
t173	e6500	r1	e203826	['mc179']
t174	e6500	r1	e60839	['mc180']
t175	e6500	r1	e62037	['mc181']
t176	e6500	r1	e64386	['mc182']
t177	e6500	r1	e203831	['mc183']
t178	e6500	r1	e63807	['mc184']
t179	e6500	r1	e63804	['mc185']
t180	e6500	r1	e63558	['mc186']
t181	e6500	r1	e203824	['mc187']
t182	e6500	r1	e61980	['mc188']
t183	e6500	r1	e61756	['mc189']
t184	e6500	r1	e203829	['mc190']
t185	e6500	r1	e63840	['mc191']
t186	e6500	r1	e203832	['mc192']
t187	e8017	r1	e203899	['mc193']
t188	e8017	r1	e203900	['mc194']
t189	e8017	r1	e203962	['mc195']
t190	e8017	r1	e13037	['mc196']
t191	e8017	r1	e203931	['mc197']
t192	e8017	r1	e203988	['mc198']
t193	e8017	r1	e203831	['mc199']
t194	e8017	r1	e203912	['mc200']
t195	e8017	r1	e204019	['mc201']
t196	e8017	r1	e62037	['mc202', 'mc266']
t197	e8017	r1	e204013	['mc203']
t198	e8017	r1	e203901	['mc204']
t199	e8017	r1	e203904	['mc205']
t200	e8017	r1	e145168	['mc206']
t201	e8017	r1	e57867	['mc207']
t202	e8017	r1	e14120	['mc208']
t203	e8017	r1	e64215	['mc209']
t204	e8017	r1	e203996	['mc210']
t205	e8017	r1	e203911	['mc211']
t206	e8017	r1	e64386	['mc212']
t207	e8017	r1	e203930	['mc213']
t208	e8017	r1	e64214	['mc214']
t209	e8017	r1	e62146	['mc215']
t210	e8017	r1	e203913	['mc216']
t211	e8017	r1	e12830	['mc217']
t212	e8017	r1	e204009	['mc218']
t213	e8017	r1	e63807	['mc219']
t214	e8017	r1	e61980	['mc220']
t215	e8017	r1	e204018	['mc221']
t216	e8017	r1	e203932	['mc222']
t217	e8017	r1	e203933	['mc223']
t218	e8017	r1	e61149	['mc224']
t219	e8017	r1	e204015	['mc225']
t220	e8017	r1	e203822	['mc226']
t221	e8017	r1	e63840	['mc227']
t222	e8017	r1	e203940	['mc228']
t223	e8017	r1	e64216	['mc229']
t224	e8017	r1	e203956	['mc230']
t225	e8017	r1	e204014	['mc231']
t226	e8017	r1	e203987	['mc232']
t227	e8017	r1	e204020	['mc233']
t228	e8017	r1	e203986	['mc234']
t229	e8017	r1	e203829	['mc235']
t230	e8017	r1	e11965	['mc236']
t231	e8017	r1	e204005	['mc237']
t232	e8017	r1	e203903	['mc238']
t233	e8017	r1	e203941	['mc239']
t234	e8017	r1	e203961	['mc240']
t235	e8017	r1	e65101	['mc241']
t236	e8017	r1	e204017	['mc242']
t237	e8017	r1	e204007	['mc243']
t238	e8017	r1	e203938	['mc244']
t239	e8017	r1	e204004	['mc245']
t240	e8017	r1	e12449	['mc246']
t241	e8017	r1	e64213	['mc247']
t242	e8017	r1	e203927	['mc248']
t243	e8017	r1	e203960	['mc249']
t244	e8017	r1	e203950	['mc250']
t245	e8017	r1	e204021	['mc251']
t246	e8017	r1	e203939	['mc252']
t247	e8017	r1	e203905	['mc253']
t248	e8017	r1	e203824	['mc254']
t249	e8017	r1	e61756	['mc255']
t250	e8017	r1	e203958	['mc256']
t251	e8017	r1	e203942	['mc257']
t252	e8017	r1	e57866	['mc258']
t253	e8017	r1	e203943	['mc259']
t254	e8017	r1	e63804	['mc260']
t255	e8017	r1	e203902	['mc261']
t256	e8017	r1	e10897	['mc262']
t257	e8017	r1	e61406	['mc263']
t258	e8017	r1	e57863	['mc264']
t259	e8017	r1	e13788	['mc265']
t260	e8017	r1	e61340	['mc267']
t261	e8017	r1	e63844	['mc268']
t262	e8017	r1	e59722	['mc269']
t263	e8017	r1	e63842	['mc270']
t264	e8017	r1	e60839	['mc271']
t265	e8017	r1	e63841	['mc272']
t266	e8017	r1	e65064	['mc273']
t267	e8017	r1	e65100	['mc274']
t268	e8017	r1	e203993	['mc275']
t269	e8017	r1	e203826	['mc276']
t270	e8017	r1	e203907	['mc277']
t271	e8017	r1	e13197	['mc278']
t272	e8017	r1	e63558	['mc279']
t273	e8017	r1	e203916	['mc280']
t274	e8017	r1	e203918	['mc281']
t275	e8017	r1	e203957	['mc282']
t276	e8017	r1	e204011	['mc283']
t277	e8017	r1	e203926	['mc284']
t278	e8017	r1	e65334	['mc285']
t279	e8017	r1	e63177	['mc286']
t280	e8017	r1	e203944	['mc287']
t281	e8017	r1	e203928	['mc288']
t282	e8017	r1	e203948	['mc289']
t283	e8017	r1	e203920	['mc290']
t284	e8017	r1	e203906	['mc291']
t285	e8017	r1	e203832	['mc292']
t286	e8381	r1	e60839	['mc293']
t287	e8381	r1	e62037	['mc294', 'mc369']
t288	e8381	r1	e66290	['mc295']
t289	e8381	r1	e13197	['mc296']
t290	e8381	r1	e11965	['mc297']
t291	e8381	r1	e203944	['mc298']
t292	e8381	r1	e10897	['mc299']
t293	e8381	r1	e203912	['mc300']
t294	e8381	r1	e63842	['mc301']
t295	e8381	r1	e59701	['mc302', 'mc401']
t296	e8381	r1	e203957	['mc303']
t297	e8381	r1	e64216	['mc304']
t298	e8381	r1	e203948	['mc305']
t299	e8381	r1	e61756	['mc306']
t300	e8381	r1	e145168	['mc307']
t301	e8381	r1	e203899	['mc308']
t302	e8381	r1	e13037	['mc309']
t303	e8381	r1	e204013	['mc310']
t304	e8381	r1	e203927	['mc311']
t305	e8381	r1	e203905	['mc312']
t306	e8381	r1	e203907	['mc313']
t307	e8381	r1	e203875	['mc314']
t308	e8381	r1	e65101	['mc315']
t309	e8381	r1	e64213	['mc316']
t310	e8381	r1	e204004	['mc317']
t311	e8381	r1	e203960	['mc318']
t312	e8381	r1	e63840	['mc319']
t313	e8381	r1	e34198	['mc320']
t314	e8381	r1	e203916	['mc321']
t315	e8381	r1	e63558	['mc322']
t316	e8381	r1	e12830	['mc323']
t317	e8381	r1	e57866	['mc324']
t318	e8381	r1	e203877	['mc325']
