ID,Modal,Pillar(s),,,,Reference Document,Ask,Description,Date Raised,Status,ID,Cursor Instruction
12,TruScore Engine,x,,,,Body Pillar - Comprehensive Database Analysis,Implement,"Implement your ""Improve Product Name Discovery High Priority Recommendation""",12/26/2025,,12,Implement Product Name Discovery enhancements.
13,TruScore Engine,x,,,,Body Pillar - Comprehensive Database Analysis,Implement,"Implement your ""Regular IARC Database Updates"" and ""Regular Additvie Database Updates"" medium priority recommendations. ",12/26/2025,,13,Defer implementation of Option 1 (Server Side Updates) post MVP launch.
14,TruScore Engine,x,,,,https://getwisecode.com/wisescore/,Review & Recommend,"Wisecode is the latest organisation to publish a more 'nuanced' Nutrition and Food Processing scoring classification system.  Consider this latest development and whether it warrants our TruScore app to either integrate Wisecodes' Nutrition and UPF classifications within our current Body scoring pillar, or;  whether it warrants pivoting to use Wisecodes technology and classifications exclusively.",12/26/2025,,14,Defer potential integration of WiseCode nutritional scoring.
15,TruScore Engine,,,x,,Care_Scoring_Specification_32_Cursor_Submit,Align Code to Specification,"It is evident in testing and earlier database analysis' produce by the Cursor agent that the coding for polling  third-party databases for the Certifications data element requires remediation (e.g. OFF should not be the primary source for Certifications given the lack of completeness in that database).  Review the Certifications specification and compare against the current code.  Ensure the databases specified in the ""Dimensions / Measures column and the Decision Tree Logic is coded as per the specification for the Certifications Data Element.  Highlight any impediments (e.g. lack of barcode identifiers and/or free API access issues for some databases?) or further clarifications needed.",2/12/2026,,15,
16,TruScore Engine,,,x,,Care_Scoring_Specification_32_Cursor_Submit; https://www.bbfaw.com/media/2190/bbfaw-2024-report.pdf,Review & Recommend,Use of the BBFW tiering (from the 2024 published annual Report) for scoring the Animal Cruelty Data Element appears inconsistent (or entirely defective) in testing.  Review the integrity of the Internal Database cited in earlier Ethics Pillar database analysis produced earlier.  Ensure the approach 'chaining' to identify  products > brands > Parent Comapany (Parent Cpmpany is published in the BBFAW report and must achor the scoring outcome) is effective.  Use bar code 5052675000989  to illustrate how the current logic is working/not working and make recommendations to remediate for MVP (i.e. this prouct is owned by Premier Foods PLC who are graded Tier I in BBFAW 2024 and should be awarded 4 points ion line with the specification),2/12/2026,,16,
17,TruScore Engine,,,x,,Care_Scoring_Specification_32_Cursor_Submit,"Explain, then Implement","Testing certain products is yielding a sometimes questionable ""Labor Concerns"" DOL Labor violation alert.  But I am unable to substantiate the validity of the alert as the alert needs to cite the specific Violation report (ideally with external hyperlink) but is currently not doing so.  PLease check the current logic and ensure specific external reference/hyperlink is cited.  Additionally, quality check against the specification including severity classification > scoring and time-bound elements (i.e. reported incident <12 months) and then explain the ""Labor Concerns"" violation results for these barcodes and how they effected the Ethics score: 40000422068 (Milky Way); 3017620422003 (Nutella); 9310272002253 (Norco Dairy Co-Op Milk); 9310354983324 (Jalna Milk Yoghurt) ",2/12/2026,,17,
18,TruScore Engine,,,x,,Care_Scoring_Specification_32_Cursor_Submit,Review & Recommend,"For the Food Recalls Data Element, earlier database analysis by the Cursor agent indicates issues with html parsing and 3rd party database API availability.  Focusing on the below databases specified in the Dimensions / Measures column undertake a code analysis and identify any issues and recommendations to retain this element for MVP.  Recommendations to de-scope are acceptable if no free/viable database polling solutions for certain jurisidictions. Lastly, The CPSC database cited in earlier reports should be decommisioned for MVP if not intended for food product frecalls.",2/12/2026,,18,
19,,,,,,,,,,,,
20,,,,,,,,,,,,
21,,,,,,,,,,,,
22,,,,,,,,,,,,
23,,,,,,,,,,,,
24,,,,,,,,,,,,
25,,,,,,,,,,,,
26,,,,,,,,,,,,
27,,,,,,,,,,,,
28,,,,,,,,,,,,
29,,,,,,,,,,,,
30,,,,,,,,,,,,
31,,,,,,,,,,,,
32,,,,,,,,,,,,
33,,,,,,,,,,,,
34,,,,,,,,,,,,
35,,,,,,,,,,,,
36,,,,,,,,,,,,
37,,,,,,,,,,,,
38,,,,,,,,,,,,
39,,,,,,,,,,,,
40,,,,,,,,,,,,
,,,,,,,,,,,,
