alias_id,alias_text,alias_normalized,alias_type,alias_source_type,brand_id,canonical_brand_name,parent_id,parent_display_name,review_state,source_id,source_reference,notes_internal
A_EXT_HOYTS_1,Hoyts,hoyts,punctuation_variation,official_brand_page,B0653,Hoyt's,P0157,Hoyt Food Manufacturing Industries Pty. Limited,reviewed,SRC_HOYTS_FOOD_ABOUT,https://hoytsfood.com.au/about-us/,Official site stylises Hoyts without apostrophe; maps to Hoyt's B0653.
A_EXT_CHICKADEES_1,Chickadee,chickadee,spelling_variation,manual_stewardship,B0654,Chickadees,P0156,Intersnack Group GmbH & Co. KG,reviewed,SRC_FSANZ_CHICKADEES,https://www.foodstandards.gov.au/food-recalls/recall-alert/snackbrands-australia-chickadees-various-sizes,Singular retail form; FSANZ uses Chickadees.
A_EXT_AUSTRAL_HERBS,Austral Herbs,austral herbs,brand_name,regulator_recall_page,B0797,Austral Herbs,P0176,Austral Herbs / Greenstorm Foods,reviewed,SRC_FSANZ_AUSTRALHERBS,FSANZ Austral Herbs peppermint recall,DSA identity correction 20260921
A_EXT_MON_SIRE,Mon Sire,mon sire,brand_name,regulator_recall_page,B0798,Mon Sire,P0177,Mon Sire / Bottega 1995,reviewed,SRC_FSANZ_MONSIRE,FSANZ/MPI Mon Sire Brie recalls,DSA identity correction 20260921
A_EXT_CHICKADEES_2,Chickadees,chickadees,brand_name,regulator_recall_page,B0654,Chickadees,P0156,Intersnack Group GmbH & Co. KG,reviewed,SRC_FSANZ_CHICKADEES,https://www.foodstandards.gov.au/food-recalls/recall-alert/snackbrands-australia-chickadees-various-sizes,Plural form for product-name leading phrase
A_EXT_RED_HAT,Red Hat,red hat,brand_name,regulator_recall_page,B0799,Red Hat,P0178,Red Hat Foods,reviewed,SRC_FSANZ_REDHAT,FSANZ Red Hat Cookia recall,DSA strict-scope final correction 20260922
A_EXT_JC_SEAFOOD,JC Seafood,jc seafood,brand_name,regulator_recall_page,B0800,JC Seafood,P0179,JC Seafood,reviewed,SRC_FSANZ_JCSEAFOOD,FSANZ JC Seafood salmon recall,DSA strict-scope final correction 20260922
A_EXT_DONGWON,Dongwon,dongwon,brand_name,regulator_recall_page,B0801,Dongwon,P0180,Dongwon,reviewed,SRC_MPI_DONGWON,MPI Dongwon fried bean curd recall,DSA strict-scope final correction 20260922
