alias_id,alias_text,alias_normalized,alias_type,alias_source_type,brand_id,canonical_brand_name,parent_id,parent_display_name,review_state,source_id,source_reference,notes_internal
A_EXT_HOYTS_1,Hoyts,hoyts,punctuation_variation,official_brand_page,B0653,Hoyt's,P0157,Hoyt Food Manufacturing Industries Pty. Limited,reviewed,SRC_HOYTS_FOOD_ABOUT,https://hoytsfood.com.au/about-us/,Official site stylises Hoyts without apostrophe; maps to Hoyt's B0653.
A_EXT_CHICKADEES_1,Chickadee,chickadee,spelling_variation,manual_stewardship,B0654,Chickadees,P0156,Intersnack Group GmbH & Co. KG,reviewed,SRC_FSANZ_CHICKADEES,https://www.foodstandards.gov.au/food-recalls/recall-alert/snackbrands-australia-chickadees-various-sizes,Singular retail form; FSANZ uses Chickadees.
